idx 	 label 	 predict 	 linf_radius 	 prob_lb 	 correct 	 time
1800 	 4 	 4 	 0.00184 	 0.6581025203146218 	 1 	 0:01:05.784932
1850 	 1 	 3 	 0.00308 	 0.7527795360746036 	 0 	 0:01:05.811578
1900 	 8 	 8 	 0.0173 	 0.9999400871493754 	 1 	 0:01:05.800610
1950 	 5 	 5 	 0.00107 	 0.5940787695054479 	 1 	 0:01:05.759542
2000 	 1 	 1 	 0.0026 	 0.7175207733083198 	 1 	 0:01:05.809171
2050 	 8 	 8 	 0.00695 	 0.9383659762736031 	 1 	 0:01:05.771276
2100 	 2 	 2 	 0.00969 	 0.9841776401653256 	 1 	 0:01:05.810239
2150 	 9 	 9 	 0.00807 	 0.9632716948273625 	 1 	 0:01:05.955807
2200 	 0 	 -1 	 -0.000897 	 0.4212170543733269 	 0 	 0:01:05.860624
2250 	 7 	 7 	 0.000112 	 0.5099128415555837 	 1 	 0:01:05.828630
2300 	 3 	 3 	 0.00126 	 0.60976297348452 	 1 	 0:01:05.875441
2350 	 3 	 5 	 0.00278 	 0.7309304247452948 	 0 	 0:01:05.874472
2400 	 0 	 0 	 0.0173 	 0.9999400871493754 	 1 	 0:01:05.552687
2450 	 1 	 1 	 0.0173 	 0.9999400871493754 	 1 	 0:01:05.379551
2500 	 4 	 4 	 0.00229 	 0.6945039199300185 	 1 	 0:01:05.354242
2550 	 4 	 4 	 0.00143 	 0.624268827378976 	 1 	 0:01:05.359107
2600 	 8 	 8 	 0.0126 	 0.9974660301803681 	 1 	 0:01:05.365659
2650 	 5 	 9 	 0.000874 	 0.5768565913727824 	 0 	 0:01:05.375216
2700 	 9 	 -1 	 -0.000916 	 0.41953902636061 	 0 	 0:01:05.350642
2750 	 5 	 5 	 0.0165 	 0.9998740895365393 	 1 	 0:01:05.363110
2800 	 4 	 4 	 0.000577 	 0.5509317167296801 	 1 	 0:01:05.371358
2850 	 5 	 5 	 0.0115 	 0.9946806862881865 	 1 	 0:01:05.350847
2900 	 3 	 2 	 0.00433 	 0.8316614167946256 	 0 	 0:01:05.370910
2950 	 1 	 1 	 0.00616 	 0.9138305347875603 	 1 	 0:01:05.354519
3000 	 5 	 5 	 0.0126 	 0.9973582630214363 	 1 	 0:01:05.378597
3050 	 0 	 0 	 0.00407 	 0.8166672915795812 	 1 	 0:01:05.385574
3100 	 0 	 0 	 0.0079 	 0.9601158014204236 	 1 	 0:01:05.375822
3150 	 1 	 1 	 0.0018 	 0.6554360133238266 	 1 	 0:01:05.366604
3200 	 5 	 -1 	 -0.000601 	 0.4469721463902088 	 0 	 0:01:05.375993
3250 	 2 	 6 	 0.00228 	 0.6930794982121702 	 0 	 0:01:05.341642
3300 	 4 	 4 	 0.005 	 0.8663914441287343 	 1 	 0:01:05.371102
3350 	 8 	 8 	 0.0073 	 0.9471696233434097 	 1 	 0:01:05.358592
3400 	 6 	 4 	 0.00206 	 0.6760094274789265 	 0 	 0:01:05.384879
3450 	 9 	 1 	 0.00506 	 0.8689115861158087 	 0 	 0:01:05.363597
3500 	 1 	 1 	 0.00321 	 0.7618597343791405 	 1 	 0:01:05.363605
3550 	 0 	 4 	 0.00258 	 0.7165172051989175 	 0 	 0:01:05.370507
3600 	 4 	 2 	 0.00423 	 0.82570311282535 	 0 	 0:01:05.372860
3650 	 0 	 0 	 0.0095 	 0.9824085278500454 	 1 	 0:01:05.322762
3700 	 3 	 3 	 0.00778 	 0.9578166387533922 	 1 	 0:01:05.375105
3750 	 9 	 9 	 0.000616 	 0.5543344050090069 	 1 	 0:01:05.375361
3800 	 9 	 9 	 0.013 	 0.9979643269805207 	 1 	 0:01:05.365987
3850 	 9 	 9 	 0.00582 	 0.9016036072112115 	 1 	 0:01:05.378653
3900 	 3 	 6 	 0.00607 	 0.9109596961942257 	 0 	 0:01:05.368278
3950 	 8 	 8 	 0.00731 	 0.9475553116199495 	 1 	 0:01:05.360951
4000 	 8 	 -1 	 -0.000651 	 0.442655623494984 	 0 	 0:01:05.375712
4050 	 3 	 -1 	 -0.000351 	 0.4689787389117369 	 0 	 0:01:05.361831
4100 	 7 	 7 	 0.0173 	 0.9999400871493754 	 1 	 0:01:05.363773
4150 	 6 	 6 	 0.00678 	 0.9336845500001953 	 1 	 0:01:05.364676
4200 	 4 	 4 	 0.00345 	 0.7777950744364927 	 1 	 0:01:05.361136
4250 	 1 	 -1 	 -0.00148 	 0.37133440708534393 	 0 	 0:01:05.376391
4300 	 8 	 8 	 0.00675 	 0.9328134163822153 	 1 	 0:01:05.382542
4350 	 4 	 4 	 0.01 	 0.9868165946736471 	 1 	 0:01:05.366339
4400 	 3 	 -1 	 -0.00232 	 0.3035056940639288 	 0 	 0:01:05.365677
4450 	 0 	 0 	 0.00276 	 0.7295049696980938 	 1 	 0:01:05.392720
4500 	 3 	 3 	 0.00295 	 0.7434803257428881 	 1 	 0:01:05.379216
4550 	 9 	 -1 	 -0.00252 	 0.2879367901370834 	 0 	 0:01:05.356881
4600 	 4 	 4 	 0.0107 	 0.9912506388413436 	 1 	 0:01:05.383241
4650 	 6 	 6 	 0.00354 	 0.783865458290611 	 1 	 0:01:05.384068
4700 	 6 	 -1 	 -0.00188 	 0.3387666502231111 	 0 	 0:01:05.370930
4750 	 7 	 -1 	 -0.00206 	 0.32382587888337866 	 0 	 0:01:05.350649
4800 	 9 	 9 	 0.0173 	 0.9999400871493754 	 1 	 0:01:05.361992
4850 	 1 	 1 	 0.00585 	 0.9026742790268463 	 1 	 0:01:05.353742
4900 	 3 	 3 	 0.00339 	 0.7739362521762683 	 1 	 0:01:05.365348
4950 	 2 	 2 	 0.00937 	 0.9810936933106413 	 1 	 0:01:05.319412
5000 	 7 	 7 	 0.0173 	 0.9999400871493754 	 1 	 0:01:05.359637
5050 	 3 	 -1 	 -7.78e-06 	 0.49931200159115463 	 0 	 0:01:05.364844
5100 	 3 	 3 	 0.00752 	 0.9521856069213775 	 1 	 0:01:05.378439
5150 	 4 	 4 	 0.00308 	 0.752900057098706 	 1 	 0:01:05.370249
5200 	 3 	 3 	 0.00183 	 0.6575611894332827 	 1 	 0:01:05.350670
5250 	 7 	 5 	 0.000601 	 0.5530133407362613 	 0 	 0:01:05.365520
5300 	 9 	 9 	 0.00637 	 0.9209500431551032 	 1 	 0:01:05.358913
5350 	 9 	 9 	 0.000397 	 0.5350614585928621 	 1 	 0:01:05.310035
5400 	 9 	 9 	 0.0173 	 0.9999400871493754 	 1 	 0:01:05.372570
5450 	 5 	 3 	 0.00764 	 0.9549088130085339 	 0 	 0:01:05.327297
5500 	 8 	 8 	 0.00482 	 0.857341509821353 	 1 	 0:01:05.350088
5550 	 5 	 -1 	 -0.00372 	 0.20493736568687082 	 0 	 0:01:05.316612
5600 	 6 	 6 	 0.00285 	 0.7362110079568333 	 1 	 0:01:05.368073
5650 	 5 	 -1 	 -0.000586 	 0.4483510944004089 	 0 	 0:01:05.363016
5700 	 3 	 3 	 0.00781 	 0.9583862254725634 	 1 	 0:01:05.373389
5750 	 6 	 6 	 0.00481 	 0.8566362112183828 	 1 	 0:01:05.348388
5800 	 2 	 2 	 0.0036 	 0.7877453856031041 	 1 	 0:01:05.352715
5850 	 6 	 2 	 0.000188 	 0.5165942207992094 	 0 	 0:01:05.336260
5900 	 4 	 0 	 0.00143 	 0.6246094751592535 	 0 	 0:01:05.360129
5950 	 9 	 9 	 0.0113 	 0.993714372964837 	 1 	 0:01:05.365495
6000 	 8 	 8 	 0.00252 	 0.7118007059752578 	 1 	 0:01:05.371617
6050 	 2 	 -1 	 -0.000576 	 0.4491504975604248 	 0 	 0:01:05.358254
6100 	 1 	 1 	 0.0148 	 0.999466210994685 	 1 	 0:01:05.381495
6150 	 1 	 1 	 0.0128 	 0.9977254395524373 	 1 	 0:01:05.365607
6200 	 3 	 -1 	 -0.00302 	 0.2517545298308361 	 0 	 0:01:05.372547
6250 	 4 	 4 	 0.00738 	 0.9489967918652362 	 1 	 0:01:05.367713
6300 	 1 	 1 	 0.0144 	 0.9992785405482415 	 1 	 0:01:05.364425
6350 	 0 	 0 	 0.0173 	 0.9999400871493754 	 1 	 0:01:05.356121
6400 	 0 	 0 	 0.00538 	 0.8834136438858609 	 1 	 0:01:05.374563
6450 	 0 	 0 	 0.0156 	 0.9997370538910132 	 1 	 0:01:05.377619
6500 	 7 	 -1 	 -0.000424 	 0.4625419158957209 	 0 	 0:01:05.381358
6550 	 1 	 1 	 0.0141 	 0.9991404453434287 	 1 	 0:01:05.376716
6600 	 7 	 7 	 0.0173 	 0.9999400871493754 	 1 	 0:01:05.370006
6650 	 0 	 0 	 0.0134 	 0.9984682446698627 	 1 	 0:01:05.347103
6700 	 6 	 6 	 0.00837 	 0.9682659325798225 	 1 	 0:01:05.369421
6750 	 4 	 3 	 0.00514 	 0.8727831236012463 	 0 	 0:01:05.355511
6800 	 6 	 6 	 0.00265 	 0.721214079889672 	 1 	 0:01:05.377018
6850 	 6 	 6 	 0.00489 	 0.8609892581118613 	 1 	 0:01:05.374516
6900 	 3 	 3 	 0.00186 	 0.6603280449604434 	 1 	 0:01:05.377748
6950 	 8 	 0 	 0.00193 	 0.6654811669139971 	 0 	 0:01:05.376885
7000 	 2 	 -1 	 -0.00309 	 0.2467956161272416 	 0 	 0:01:05.360977
7050 	 8 	 8 	 0.0102 	 0.9878704128565301 	 1 	 0:01:05.377580
7100 	 9 	 -1 	 -0.00238 	 0.2989401931814082 	 0 	 0:01:05.350482
7150 	 3 	 -1 	 -0.0018 	 0.3445525060741831 	 0 	 0:01:05.330624
7200 	 4 	 4 	 0.00141 	 0.6223251671972925 	 1 	 0:01:05.387283
7250 	 8 	 8 	 0.00581 	 0.9012400012113319 	 1 	 0:01:05.360853
7300 	 3 	 3 	 0.00168 	 0.6451520529310549 	 1 	 0:01:05.347990
7350 	 9 	 9 	 0.00376 	 0.7977989253574385 	 1 	 0:01:05.352726
7400 	 3 	 3 	 0.00765 	 0.9550511115658055 	 1 	 0:01:05.337277
7450 	 1 	 1 	 0.0173 	 0.9999400871493754 	 1 	 0:01:05.369781
7500 	 6 	 6 	 0.0151 	 0.9995866603184165 	 1 	 0:01:05.348291
7550 	 4 	 4 	 0.00987 	 0.9857023339897836 	 1 	 0:01:05.361737
7600 	 8 	 9 	 0.00287 	 0.7377571475591664 	 0 	 0:01:05.353365
7650 	 2 	 2 	 0.0113 	 0.993714372964837 	 1 	 0:01:05.371922
7700 	 6 	 6 	 0.00128 	 0.611926616521735 	 1 	 0:01:05.357501
7750 	 3 	 -1 	 -0.000997 	 0.41256768114296144 	 0 	 0:01:05.368017
7800 	 0 	 0 	 0.0163 	 0.9998449342409468 	 1 	 0:01:05.376632
7850 	 0 	 0 	 0.00814 	 0.9644940660245622 	 1 	 0:01:05.342061
7900 	 0 	 4 	 0.000315 	 0.5278780443927915 	 0 	 0:01:05.375170
7950 	 9 	 9 	 0.0168 	 0.9999051262616353 	 1 	 0:01:05.362139
8000 	 9 	 9 	 0.0173 	 0.9999400871493754 	 1 	 0:01:05.378259
8050 	 7 	 7 	 0.0103 	 0.9887187616220836 	 1 	 0:01:05.356668
8100 	 6 	 -1 	 -0.00107 	 0.4062761349351451 	 0 	 0:01:05.338416
8150 	 6 	 6 	 0.0154 	 0.9996859167328448 	 1 	 0:01:05.358299
8200 	 3 	 -1 	 -0.00289 	 0.2607576532384832 	 0 	 0:01:05.358184
8250 	 6 	 6 	 0.00621 	 0.9156706603199702 	 1 	 0:01:05.364521
8300 	 5 	 -1 	 -0.00291 	 0.25966204548739447 	 0 	 0:01:05.370961
8350 	 9 	 9 	 0.005 	 0.8660084088979707 	 1 	 0:01:05.358790
8400 	 0 	 -1 	 -0.0019 	 0.3371906033706407 	 0 	 0:01:05.320708
8450 	 9 	 -1 	 -0.00178 	 0.346827103046342 	 0 	 0:01:05.377519
8500 	 4 	 4 	 0.0116 	 0.9948070494636755 	 1 	 0:01:05.348448
8550 	 1 	 1 	 0.00734 	 0.9481643442544326 	 1 	 0:01:05.374214
8600 	 3 	 3 	 0.00128 	 0.6118865483815543 	 1 	 0:01:05.366202
8650 	 2 	 5 	 0.00417 	 0.8222816611611001 	 0 	 0:01:05.353749
8700 	 3 	 3 	 0.000898 	 0.5789390311235719 	 1 	 0:01:05.351603
8750 	 9 	 9 	 0.0168 	 0.9999051262616353 	 1 	 0:01:05.362059
8800 	 0 	 0 	 0.0168 	 0.9999051262616353 	 1 	 0:01:05.353206
8850 	 1 	 6 	 0.00512 	 0.87191599625696 	 0 	 0:01:05.365793
8900 	 2 	 2 	 0.00426 	 0.8276957875334148 	 1 	 0:01:05.384004
8950 	 9 	 9 	 0.0168 	 0.9999051262616353 	 1 	 0:01:05.359548
9000 	 8 	 8 	 0.0173 	 0.9999400871493754 	 1 	 0:01:05.371113
9050 	 5 	 3 	 0.00527 	 0.8786321931242229 	 0 	 0:01:05.371067
9100 	 9 	 1 	 0.00436 	 0.8332115845409835 	 0 	 0:01:05.356216
9150 	 6 	 6 	 0.0108 	 0.9914795872180922 	 1 	 0:01:05.367604
9200 	 8 	 8 	 0.0143 	 0.9992553929749171 	 1 	 0:01:05.361121
9250 	 3 	 5 	 0.00579 	 0.9005532150728798 	 0 	 0:01:05.351284
9300 	 5 	 3 	 0.00277 	 0.7304686529182394 	 0 	 0:01:05.366487
9350 	 6 	 6 	 0.00118 	 0.6030521449297985 	 1 	 0:01:05.348758
9400 	 6 	 6 	 0.015 	 0.9995623048036325 	 1 	 0:01:05.394314
9450 	 6 	 6 	 0.00219 	 0.6861786121702345 	 1 	 0:01:05.367226
9500 	 9 	 9 	 0.00271 	 0.7261121569037186 	 1 	 0:01:05.386441
9550 	 6 	 6 	 0.0103 	 0.9887394670879512 	 1 	 0:01:05.365022
9600 	 8 	 8 	 0.00719 	 0.9445516459289727 	 1 	 0:01:05.364214
9650 	 8 	 8 	 0.0168 	 0.9999051262616353 	 1 	 0:01:05.340526
9700 	 0 	 0 	 0.0135 	 0.9986231761203062 	 1 	 0:01:05.363771
9750 	 2 	 2 	 0.00451 	 0.8415276111111822 	 1 	 0:01:05.385296
9800 	 1 	 1 	 0.0173 	 0.9999400871493754 	 1 	 0:01:05.361421
9850 	 7 	 4 	 0.00766 	 0.9552747321906813 	 0 	 0:01:05.360819
9900 	 8 	 8 	 0.0154 	 0.9996859167328448 	 1 	 0:01:05.370545
9950 	 3 	 3 	 0.00218 	 0.6857172472480897 	 1 	 0:01:05.364644
